id,perc_natural,alt_mean,conn_eco_mean,distance,fragmentada
1545,100.0,1171.35,4.02716244544983,16202.8899471793,0
1545,100.0,1171.35,4.02716244544983,16202.8899471793,0
1545,100.0,1171.35,4.02716244544983,16202.8899471793,0
1546,100.0,1129.62121212121,4.03250105203626,15429.9802927841,0
1546,100.0,1129.62121212121,4.03250105203626,15429.9802927841,0
1546,100.0,1129.62121212121,4.03250105203626,15429.9802927841,0
1547,100.0,922.777777777778,4.06847149412997,14684.5136463899,0
1547,100.0,922.777777777778,4.06847149412997,14684.5136463899,0
1547,100.0,922.777777777778,4.06847149412997,14684.5136463899,0
1548,100.0,830.416666666667,4.10148168327217,14203.7720647602,0
1548,100.0,830.416666666667,4.10148168327217,14203.7720647602,0
